node1,node2,weight,timestep
0,1,1,0
0,83,1,0
0,37,1,0
0,59,1,0
1,59,1,0
1,55,1,0
2,97,1,0
2,45,1,0
2,93,1,0
3,62,1,0
4,49,1,0
4,61,1,0
4,7,1,0
5,29,1,0
5,60,1,0
5,37,1,0
6,88,1,0
6,24,1,0
7,49,1,0
7,93,1,0
8,11,1,0
8,43,1,0
9,25,1,0
9,34,1,0
9,29,1,0
9,39,1,0
10,72,1,0
10,24,1,0
10,27,1,0
10,93,1,0
10,94,1,0
11,48,1,0
11,90,1,0
11,53,1,0
12,38,1,0
12,76,1,0
12,22,1,0
12,57,1,0
12,91,1,0
13,63,1,0
13,31,1,0
14,60,1,0
14,50,1,0
14,36,1,0
14,58,1,0
15,49,1,0
15,75,1,0
15,33,1,0
16,33,1,0
16,58,1,0
16,47,1,0
17,80,1,0
17,20,1,0
17,85,1,0
17,57,1,0
17,92,1,0
18,88,1,0
18,89,1,0
18,93,1,0
19,33,1,0
19,57,1,0
20,73,1,0
20,44,1,0
21,40,1,0
21,65,1,0
21,50,1,0
21,30,1,0
22,51,1,0
22,36,1,0
22,52,1,0
23,69,1,0
24,64,1,0
24,47,1,0
25,36,1,0
26,72,1,0
26,41,1,0
26,89,1,0
27,42,1,0
27,70,1,0
28,49,1,0
28,36,1,0
28,71,1,0
29,83,1,0
31,34,1,0
31,38,1,0
32,97,1,0
32,82,1,0
32,45,1,0
33,79,1,0
34,71,1,0
35,41,1,0
35,37,1,0
36,37,1,0
36,42,1,0
36,49,1,0
36,84,1,0
36,56,1,0
36,74,1,0
37,98,1,0
37,92,1,0
37,95,1,0
38,65,1,0
38,73,1,0
40,96,1,0
40,91,1,0
40,60,1,0
40,87,1,0
43,88,1,0
43,44,1,0
45,76,1,0
45,84,1,0
45,91,1,0
45,92,1,0
46,64,1,0
46,50,1,0
47,76,1,0
48,61,1,0
49,93,1,0
52,86,1,0
52,78,1,0
52,70,1,0
53,69,1,0
54,94,1,0
55,96,1,0
55,76,1,0
57,94,1,0
58,68,1,0
60,74,1,0
60,77,1,0
62,64,1,0
63,67,1,0
64,83,1,0
65,82,1,0
65,91,1,0
66,77,1,0
66,84,1,0
66,89,1,0
67,69,1,0
67,86,1,0
68,81,1,0
70,97,1,0
70,78,1,0
73,88,1,0
75,95,1,0
75,76,1,0
78,85,1,0
79,89,1,0
84,99,1,0
84,89,1,0
84,92,1,0
88,98,1,0
89,98,1,0
0,1,1,1
0,83,1,1
0,68,1,1
0,59,1,1
1,14,1,1
1,55,1,1
2,10,1,1
2,13,1,1
2,93,1,1
3,36,1,1
4,49,1,1
4,61,1,1
4,7,1,1
5,40,1,1
5,37,1,1
5,85,1,1
6,88,1,1
6,24,1,1
7,49,1,1
7,93,1,1
8,11,1,1
8,46,1,1
9,25,1,1
9,34,1,1
9,90,1,1
9,29,1,1
10,70,1,1
10,72,1,1
10,27,1,1
10,60,1,1
11,48,1,1
11,53,1,1
11,39,1,1
12,57,1,1
12,91,1,1
12,76,1,1
12,62,1,1
12,22,1,1
13,63,1,1
14,50,1,1
14,36,1,1
14,58,1,1
15,49,1,1
15,43,1,1
15,55,1,1
16,74,1,1
16,36,1,1
16,47,1,1
17,34,1,1
17,20,1,1
17,57,1,1
17,92,1,1
17,31,1,1
18,88,1,1
18,93,1,1
18,32,1,1
19,33,1,1
19,57,1,1
20,73,1,1
20,35,1,1
21,98,1,1
21,50,1,1
21,60,1,1
21,30,1,1
22,51,1,1
22,36,1,1
22,52,1,1
23,69,1,1
24,64,1,1
24,97,1,1
24,47,1,1
25,38,1,1
26,72,1,1
26,41,1,1
26,89,1,1
27,42,1,1
27,70,1,1
28,49,1,1
28,36,1,1
28,71,1,1
29,58,1,1
29,83,1,1
31,38,1,1
31,45,1,1
32,97,1,1
32,95,1,1
33,66,1,1
33,60,1,1
33,79,1,1
34,80,1,1
35,89,1,1
36,37,1,1
36,42,1,1
36,49,1,1
36,84,1,1
36,56,1,1
37,98,1,1
37,45,1,1
37,47,1,1
37,79,1,1
37,92,1,1
38,65,1,1
38,73,1,1
40,96,1,1
40,87,1,1
40,91,1,1
40,93,1,1
41,96,1,1
43,88,1,1
43,76,1,1
44,75,1,1
44,50,1,1
45,76,1,1
45,84,1,1
45,86,1,1
45,92,1,1
46,64,1,1
48,61,1,1
49,93,1,1
52,86,1,1
52,78,1,1
52,70,1,1
53,69,1,1
54,94,1,1
55,70,1,1
57,94,1,1
58,66,1,1
59,60,1,1
60,77,1,1
62,64,1,1
63,67,1,1
64,83,1,1
65,89,1,1
65,82,1,1
65,91,1,1
66,84,1,1
67,91,1,1
67,69,1,1
68,81,1,1
71,74,1,1
73,88,1,1
75,95,1,1
75,76,1,1
76,78,1,1
77,89,1,1
78,85,1,1
82,89,1,1
84,99,1,1
84,89,1,1
84,92,1,1
88,98,1,1
94,97,1,1
0,1,1,2
0,83,1,2
0,68,1,2
0,9,1,2
1,59,1,2
1,55,1,2
2,97,1,2
2,45,1,2
2,93,1,2
3,36,1,2
4,49,1,2
4,61,1,2
4,7,1,2
5,60,1,2
5,37,1,2
5,85,1,2
6,88,1,2
6,24,1,2
7,49,1,2
7,93,1,2
8,11,1,2
8,43,1,2
9,25,1,2
9,34,1,2
9,29,1,2
10,72,1,2
10,13,1,2
10,24,1,2
10,27,1,2
10,93,1,2
11,48,1,2
11,90,1,2
11,53,1,2
12,76,1,2
12,50,1,2
12,57,1,2
12,91,1,2
12,62,1,2
13,31,1,2
14,60,1,2
14,50,1,2
14,91,1,2
14,36,1,2
15,75,1,2
15,70,1,2
15,55,1,2
16,74,1,2
16,36,1,2
16,47,1,2
17,48,1,2
17,34,1,2
17,80,1,2
17,20,1,2
17,92,1,2
18,88,1,2
18,89,1,2
18,93,1,2
19,33,1,2
19,26,1,2
20,73,1,2
20,35,1,2
21,40,1,2
21,65,1,2
21,22,1,2
21,30,1,2
22,34,1,2
22,51,1,2
22,52,1,2
23,69,1,2
24,95,1,2
24,47,1,2
25,38,1,2
26,41,1,2
26,89,1,2
27,42,1,2
27,70,1,2
28,49,1,2
28,36,1,2
28,71,1,2
29,67,1,2
29,83,1,2
31,36,1,2
31,38,1,2
32,82,1,2
32,60,1,2
32,33,1,2
33,96,1,2
33,60,1,2
35,37,1,2
36,37,1,2
36,49,1,2
36,84,1,2
36,86,1,2
36,91,1,2
37,98,1,2
37,42,1,2
37,47,1,2
37,92,1,2
38,65,1,2
38,73,1,2
39,59,1,2
40,96,1,2
40,87,1,2
40,60,1,2
40,95,1,2
41,66,1,2
43,88,1,2
43,44,1,2
44,76,1,2
45,76,1,2
45,77,1,2
45,84,1,2
45,91,1,2
45,92,1,2
46,64,1,2
46,50,1,2
49,55,1,2
49,93,1,2
52,56,1,2
52,78,1,2
52,70,1,2
53,69,1,2
54,94,1,2
57,71,1,2
57,61,1,2
57,94,1,2
58,65,1,2
58,66,1,2
58,69,1,2
62,64,1,2
63,67,1,2
63,70,1,2
64,75,1,2
64,83,1,2
65,82,1,2
66,84,1,2
67,86,1,2
68,81,1,2
72,74,1,2
73,88,1,2
75,76,1,2
76,78,1,2
77,89,1,2
78,85,1,2
79,97,1,2
79,89,1,2
84,99,1,2
84,89,1,2
84,92,1,2
88,98,1,2
89,98,1,2
94,97,1,2
0,1,1,3
0,83,1,3
0,93,1,3
0,59,1,3
1,59,1,3
1,55,1,3
2,97,1,3
2,68,1,3
2,45,1,3
3,36,1,3
4,49,1,3
4,61,1,3
4,7,1,3
5,45,1,3
5,60,1,3
5,85,1,3
6,24,1,3
6,33,1,3
7,49,1,3
7,93,1,3
8,11,1,3
8,43,1,3
9,25,1,3
9,34,1,3
9,15,1,3
9,29,1,3
10,70,1,3
10,72,1,3
10,23,1,3
10,24,1,3
10,93,1,3
11,48,1,3
11,90,1,3
11,53,1,3
12,76,1,3
12,15,1,3
12,22,1,3
12,57,1,3
12,91,1,3
13,63,1,3
13,31,1,3
14,60,1,3
14,50,1,3
14,36,1,3
14,58,1,3
15,49,1,3
16,74,1,3
16,36,1,3
16,47,1,3
17,80,1,3
17,50,1,3
17,57,1,3
17,94,1,3
17,95,1,3
18,88,1,3
18,89,1,3
18,93,1,3
19,42,1,3
19,57,1,3
20,73,1,3
20,35,1,3
20,37,1,3
21,40,1,3
21,65,1,3
21,50,1,3
21,54,1,3
22,51,1,3
22,36,1,3
22,52,1,3
24,64,1,3
24,47,1,3
25,38,1,3
26,41,1,3
26,65,1,3
26,89,1,3
27,33,1,3
27,70,1,3
27,69,1,3
28,49,1,3
28,36,1,3
28,71,1,3
29,58,1,3
29,83,1,3
30,34,1,3
31,58,1,3
31,38,1,3
32,97,1,3
32,82,1,3
32,45,1,3
33,60,1,3
33,79,1,3
34,66,1,3
35,37,1,3
36,37,1,3
36,42,1,3
36,49,1,3
36,84,1,3
36,56,1,3
37,98,1,3
37,47,1,3
