,0
0,-366.1625698658549
1,-598.8927267226613
2,-619.299012372438
3,-601.6868187002385
4,-627.1918178623481
5,-613.2599296598083
6,-557.437079730008
7,-629.1647504732622
8,-643.3424779056436
9,-562.3436979079597
10,-595.6405766559872
11,-604.0889869220288
12,-640.5170091124705
13,-571.9677256705664
14,-594.940750471698
15,-562.9304270658004
16,-606.9725716246652
17,-596.5318465869375
18,-591.1585620403557
19,-624.2021696864335
20,-600.8509635310853
21,-595.7659847017986
22,-582.8911114048265
23,-577.8435176679122
24,-604.8329501620406
25,-534.0389981853269
26,-577.3269231822492
27,-560.3882442588531
28,-597.1102466075569
29,-607.3339241917445
30,-599.1153253042232
31,-641.0871895486096
32,-594.3571670386275
33,-598.0749132350331
34,-567.1947102115848
35,-575.046643557921
36,-621.7446827836403
37,-616.2006211334691
38,-600.9412824893927
39,-596.4903213001378
40,-652.7527596929162
41,-612.0555978756747
42,-593.5593284388124
43,-624.5611740968043
44,-595.173979636533
45,-632.6694093196679
46,-620.7990766705193
47,-589.4273689267721
48,-593.1617389685478
49,-613.6459802549173
50,-613.2162714225399
51,-613.8956947138861
52,-550.5998831757365
53,-608.8087389521513
54,-588.8192473602049
55,-590.8522068317095
56,-681.8021937825963
57,-578.9883286009479
58,-560.2743011783318
59,-665.3375788795729
60,-606.3667485437195
61,-589.6337591751598
62,-602.5517276051711
63,-644.4161158267433
64,-583.6202034780742
65,-608.8034107084886
66,-613.0347629347712
67,-639.4927398770485
68,-586.9074315619437
69,-623.2388188706263
70,-614.7974043110856
71,-617.5360030491101
72,-615.582170276224
73,-646.8476802136169
74,-598.0851253736408
75,-583.3982328655826
76,-623.326846936378
77,-619.4097840306891
78,-609.123837125486
79,-603.4792626704118
80,-577.5354913979504
81,-584.4530110371143
82,-606.1748477396268
83,-599.5145951426749
84,-612.8992733888176
85,-613.6234800053408
86,-598.5638019583512
87,-601.2524159509352
88,-610.8515617690246
89,-633.8272725540263
90,-575.0318205461414
91,-589.7388672047135
92,-570.9267153642459
93,-612.3128092006966
94,-601.3825089764198
95,-605.6975211008971
96,-602.8093345294874
97,-632.2849071004362
98,-587.6086262010654
99,-592.5140342217121
100,-582.6153984669568
