node1,node2,weight,timestep
0,4,1,0
0,6,1,0
1,11,1,0
1,43,1,0
1,18,1,0
1,19,1,0
1,21,1,0
1,27,1,0
2,16,1,0
2,74,1,0
2,14,1,0
3,37,1,0
3,16,1,0
3,20,1,0
3,5,1,0
3,69,1,0
3,95,1,0
4,10,1,0
4,81,1,0
4,58,1,0
4,30,1,0
5,55,1,0
6,27,1,0
6,19,1,0
6,71,1,0
7,42,1,0
7,78,1,0
7,29,1,0
8,24,1,0
8,33,1,0
8,72,1,0
8,46,1,0
9,50,1,0
9,48,1,0
9,18,1,0
9,83,1,0
9,25,1,0
9,91,1,0
9,29,1,0
10,27,1,0
11,97,1,0
11,66,1,0
11,74,1,0
11,75,1,0
11,45,1,0
11,21,1,0
11,91,1,0
12,57,1,0
12,36,1,0
12,63,1,0
13,38,1,0
13,42,1,0
13,21,1,0
13,22,1,0
13,25,1,0
13,53,1,0
14,58,1,0
15,26,1,0
15,73,1,0
15,18,1,0
15,58,1,0
15,53,1,0
16,38,1,0
16,70,1,0
16,21,1,0
16,87,1,0
17,88,1,0
17,67,1,0
17,69,1,0
18,71,1,0
18,19,1,0
18,21,1,0
18,57,1,0
19,43,1,0
20,73,1,0
20,79,1,0
21,24,1,0
21,88,1,0
21,95,1,0
22,55,1,0
22,85,1,0
22,23,1,0
22,26,1,0
22,29,1,0
23,91,1,0
23,47,1,0
23,94,1,0
23,59,1,0
23,30,1,0
24,83,1,0
24,63,1,0
25,96,1,0
25,76,1,0
25,27,1,0
26,48,1,0
26,90,1,0
26,61,1,0
26,62,1,0
27,69,1,0
27,61,1,0
27,63,1,0
28,64,1,0
28,49,1,0
28,75,1,0
28,62,1,0
29,69,1,0
29,44,1,0
29,95,1,0
30,41,1,0
30,47,1,0
30,53,1,0
31,56,1,0
32,55,1,0
33,42,1,0
33,86,1,0
34,79,1,0
34,41,1,0
34,42,1,0
34,87,1,0
35,52,1,0
35,60,1,0
36,65,1,0
36,99,1,0
36,43,1,0
36,54,1,0
36,90,1,0
38,67,1,0
38,78,1,0
38,62,1,0
39,77,1,0
40,68,1,0
40,70,1,0
40,45,1,0
40,54,1,0
41,69,1,0
42,87,1,0
42,93,1,0
43,45,1,0
43,85,1,0
45,70,1,0
46,59,1,0
46,47,1,0
47,64,1,0
47,73,1,0
47,51,1,0
48,84,1,0
48,85,1,0
49,88,1,0
50,57,1,0
50,75,1,0
51,79,1,0
52,75,1,0
52,83,1,0
52,57,1,0
52,56,1,0
52,89,1,0
53,80,1,0
53,87,1,0
53,89,1,0
54,76,1,0
55,99,1,0
56,67,1,0
56,60,1,0
57,75,1,0
57,79,1,0
58,85,1,0
58,63,1,0
60,75,1,0
60,79,1,0
60,94,1,0
62,91,1,0
62,87,1,0
63,96,1,0
63,68,1,0
64,80,1,0
64,65,1,0
66,72,1,0
66,78,1,0
66,85,1,0
66,86,1,0
66,89,1,0
67,86,1,0
68,80,1,0
68,83,1,0
69,78,1,0
71,82,1,0
71,95,1,0
72,90,1,0
72,93,1,0
76,90,1,0
77,89,1,0
77,92,1,0
80,97,1,0
81,99,1,0
81,85,1,0
82,83,1,0
82,87,1,0
84,89,1,0
86,88,1,0
86,94,1,0
94,98,1,0
98,99,1,0
